subject,Proportion cvr2 > 0.0,Mean cvr2,95% quantile cvr2
38,0.6623931623931624,0.014873583891242166,0.07207891869999995
41,0.6109510086455331,0.01950607675987176,0.1020714804
13,0.5985915492957746,0.02369527814861033,0.11194720299999979
12,0.5831460674157304,0.018002188003425956,0.09246780725
26,0.5712209302325582,0.005046494864110465,0.041920615999999994
39,0.5395763656633222,0.012680990181017836,0.072860868
30,0.5041928721174004,0.008410108468647799,0.05528920744999998
7,0.48318385650224216,0.004244081426034754,0.05717628549999999
9,0.4474097331240188,0.004175412099167975,0.051786347999999996
19,0.4314606741573034,0.004074494841533708,0.07720705129999995
16,0.40350877192982454,0.001631033134263158,0.047909387250000005
15,0.38501971090670173,-3.8726105611038125e-05,0.049286455
8,0.36163522012578614,-0.0024429616923427673,0.0366361455
22,0.2984097287184284,-0.0023212173896959777,0.04032891239999996
37,0.2957393483709273,-0.006094625410903509,0.020450637799999994
6,0.29316770186335406,-0.006058182137968782,0.017487393599999995
4,0.28774193548387095,-0.005073748356082968,0.02408445569999999
20,0.24182358771060455,-0.006984878976610506,0.02673443679999987
31,0.22841225626740946,-0.0068845233609749305,0.018246914349999994
17,0.22692307692307692,-0.007994207749526923,0.028682628649999965
24,0.19919517102615694,-0.01023963190055332,0.008307561
36,0.1660958904109589,-0.01184283180822774,0.008915453800000002
1,0.1621271076523995,-0.013041431648651102,0.015426065999999999
10,0.15746971736204576,-0.015035191717375504,0.013882473099999999
35,0.11636363636363636,-0.011550300291453637,0.008968366574999977
32,0.1105121293800539,-0.014064826527237197,0.007696863634999947
34,0.10157194679564692,-0.012811306744074972,0.007434556649999997
27,0.1,-0.012326125301317072,0.012113160699999959
2,0.09534883720930233,-0.013611385325895349,0.005477019909999969
33,0.09035409035409035,-0.014489622148339439,0.004354678199999999
14,0.08625,-0.013297504865,0.004991298724999999
25,0.0779874213836478,-0.015682143326415092,0.004290623879999994
5,0.06942392909896603,-0.01763087315483309,0.0031017705599999997
28,0.06701708278580815,-0.012883490000588698,0.0013535842
18,0.064343163538874,-0.014989773769469169,0.0013421848750000001
29,0.056910569105691054,-0.01233902232426655,0.00073387474
21,0.040100250626566414,-0.02108237394464912,0.0
40,0.03901895206243032,-0.019476006641716833,-0.00023337602400001992
3,0.014005602240896359,-0.013692978534201681,-0.001308361424999996
