,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
"z_m_s_15[3,12]",0.481194,0.00458688,0.482255,0.480744,-0.314644,0.489672,1.26009,11360.9,6828.34,1.00063
"z_m_s_15[3,13]",-0.403958,0.00463987,0.51559,0.510362,-1.25184,-0.401247,0.432346,12572.0,6934.44,1.00104
"z_m_s_15[3,14]",-1.04104,0.00430416,0.469422,0.46782,-1.81007,-1.04508,-0.264463,12099.9,6729.25,1.00136
"z_m_s_15[3,15]",-0.105002,0.00445192,0.466557,0.459743,-0.869803,-0.106011,0.662443,11221.9,6983.2,1.00043
"z_m_s_15[3,16]",-0.755968,0.0041216,0.426391,0.422872,-1.44976,-0.762274,-0.0453402,11173.9,7772.52,1.00041
"z_m_s_15[4,1]",0.827615,0.00500642,0.518733,0.508965,-0.0313578,0.826952,1.68001,11150.5,7164.27,1.00087
"z_m_s_15[4,2]",1.02188,0.00462769,0.47489,0.471952,0.23708,1.02192,1.78794,10890.9,5991.8,0.999915
"z_m_s_15[4,3]",0.299521,0.00410483,0.39668,0.387334,-0.35581,0.300743,0.948056,9494.69,6801.11,1.00076
"z_m_s_15[4,4]",0.32921,0.00465892,0.49386,0.49168,-0.499193,0.33401,1.14033,11470.9,7447.81,1.00052
"z_m_s_15[4,5]",1.26725,0.00446995,0.411066,0.407797,0.590392,1.27794,1.92079,8662.52,6890.55,1.0005
"z_m_s_15[4,6]",0.471236,0.0041705,0.379596,0.37599,-0.154832,0.474675,1.09049,8418.65,7142.86,1.00209
"z_m_s_15[4,7]",0.310369,0.00421113,0.424591,0.416946,-0.388646,0.315598,0.993672,10273.7,7164.04,1.00095
"z_m_s_15[4,8]",0.590797,0.00469957,0.466419,0.463991,-0.180552,0.594618,1.35758,9990.44,7002.54,1.00047
"z_m_s_15[4,9]",0.093168,0.00436306,0.429049,0.420296,-0.605735,0.0945769,0.804601,9835.11,6570.25,1.0013
"z_m_s_15[4,10]",-0.103205,0.00439784,0.475187,0.466748,-0.877581,-0.106387,0.678531,11939.7,6778.71,1.00145
"z_m_s_15[4,11]",0.69336,0.0044241,0.402243,0.395202,0.0257896,0.692234,1.35359,8374.37,6730.41,1.00057
"z_m_s_15[4,12]",-0.16181,0.00420283,0.468124,0.459827,-0.934053,-0.163832,0.60058,12656.4,7312.18,1.00075
"z_m_s_15[4,13]",-0.10537,0.00468827,0.475393,0.46304,-0.880931,-0.104337,0.67125,10453.2,6381.2,1.00097
"z_m_s_15[4,14]",0.385391,0.00411565,0.426569,0.421514,-0.309788,0.388571,1.08289,10979.9,6280.37,1.00052
"z_m_s_15[4,15]",0.159118,0.00425648,0.431733,0.423047,-0.541624,0.160598,0.860527,10351.5,6349.67,1.00118
"z_m_s_15[4,16]",-0.828884,0.00495252,0.575721,0.566911,-1.77987,-0.832726,0.121635,13919.9,7324.07,1.00055
"z_m_s_15[5,1]",-0.65722,0.00489915,0.234915,0.236536,-1.04104,-0.659812,-0.274466,2364.81,4958.71,1.0022
"z_m_s_15[5,2]",-1.02806,0.00449323,0.30297,0.298272,-1.5276,-1.02866,-0.528749,4578.33,6485.99,1.00061
"z_m_s_15[5,3]",-1.24166,0.00454359,0.434414,0.428102,-1.93778,-1.24777,-0.507571,9453.57,6921.78,1.00044
"z_m_s_15[5,4]",-1.01784,0.00433736,0.408302,0.400035,-1.68914,-1.02008,-0.337034,8965.06,6958.26,1.00187
"z_m_s_15[5,5]",-0.555579,0.00441338,0.425376,0.417544,-1.25572,-0.552161,0.141412,9473.67,6638.33,1.00019
"z_m_s_15[5,6]",-0.732804,0.00439246,0.374093,0.371218,-1.33923,-0.735602,-0.115195,7349.51,7154.18,1.00102
"z_m_s_15[5,7]",-0.00866998,0.00406418,0.324079,0.324394,-0.541109,-0.0104583,0.521984,6418.79,7534.6,1.00098
"z_m_s_15[5,8]",-0.68894,0.00463693,0.439171,0.435505,-1.39643,-0.691504,0.0239665,9210.02,6838.52,1.00156
"z_m_s_15[5,9]",-0.938419,0.00453674,0.47007,0.467128,-1.70862,-0.936887,-0.159988,10971.4,7454.03,1.00065
"z_m_s_15[5,10]",-0.242396,0.00403206,0.378894,0.366375,-0.846075,-0.25263,0.391268,8967.25,6868.75,1.00127
"z_m_s_15[5,11]",-0.240696,0.00444014,0.398444,0.399492,-0.896622,-0.239526,0.408347,8206.12,6590.62,1.00123
"z_m_s_15[5,12]",-0.744041,0.0042413,0.41716,0.408545,-1.4229,-0.751711,-0.0515773,9869.31,6991.64,1.00041
"z_m_s_15[5,13]",-0.66623,0.00431008,0.450234,0.454488,-1.41057,-0.665048,0.0624403,11057.9,7059.87,1.0009
"z_m_s_15[5,14]",-0.716733,0.00468692,0.482539,0.47811,-1.49144,-0.720197,0.065396,10898.9,6888.07,1.00025
"z_m_s_15[5,15]",0.156114,0.00456351,0.454543,0.447317,-0.596848,0.162856,0.884154,10350.2,7377.28,1.00094
"z_m_s_15[5,16]",-0.203536,0.00428785,0.481445,0.467523,-0.9908,-0.204649,0.593128,12808.3,6970.43,1.00177
"z_m_s_15[6,1]",-0.670889,0.00464572,0.23855,0.232694,-1.05765,-0.672862,-0.273633,2673.88,4838.02,1.00215
"z_m_s_15[6,2]",-0.706951,0.00438098,0.309836,0.305164,-1.21346,-0.710907,-0.19357,5086.69,6123.97,1.00177
"z_m_s_15[6,3]",-1.29447,0.00436435,0.367584,0.360465,-1.88388,-1.30216,-0.678115,7216.71,6676.43,1.00076
"z_m_s_15[6,4]",-0.490215,0.00427711,0.392059,0.389529,-1.12505,-0.494722,0.159507,8542.0,6861.16,1.0004
"z_m_s_15[6,5]",-0.503635,0.00450102,0.428559,0.420436,-1.2092,-0.5031,0.200389,9258.19,6831.55,1.00139
"z_m_s_15[6,6]",0.335413,0.00422897,0.444346,0.432163,-0.395564,0.338399,1.06445,11183.8,6868.94,1.0011
"z_m_s_15[6,7]",-0.207655,0.00433124,0.404429,0.401386,-0.860446,-0.208612,0.460351,8813.53,6983.24,1.00048
"z_m_s_15[6,8]",-0.727023,0.0044795,0.415514,0.40539,-1.40502,-0.732066,-0.0449582,8832.22,6735.94,1.00046
"z_m_s_15[6,9]",-0.0255413,0.00412047,0.371234,0.37045,-0.633043,-0.02906,0.581219,8213.18,7043.58,1.00049
"z_m_s_15[6,10]",0.266057,0.0042666,0.371491,0.363112,-0.330839,0.267515,0.875241,7692.8,6882.44,1.00077
"z_m_s_15[6,11]",0.814065,0.0043598,0.392921,0.386109,0.150012,0.820083,1.45378,8245.44,7266.52,0.999957
"z_m_s_15[6,12]",0.959226,0.00394528,0.427243,0.424253,0.230158,0.969483,1.65035,11893.5,7524.41,1.00037
"z_m_s_15[6,13]",1.07266,0.00420443,0.36685,0.358666,0.46176,1.07525,1.66401,7753.51,6957.18,1.00081
"z_m_s_15[6,14]",0.701761,0.00405972,0.375924,0.367138,0.0790742,0.700669,1.31884,8674.41,6989.17,1.00174
"z_m_s_15[6,15]",0.850915,0.00425662,0.326053,0.320064,0.311106,0.855854,1.37312,5967.83,6862.15,0.999983
"z_m_s_15[6,16]",0.855166,0.00411215,0.378342,0.3707,0.236457,0.857906,1.47349,8593.47,6918.24,1.00136
"z_m_s_15[7,1]",-0.433782,0.00468768,0.250816,0.248915,-0.84796,-0.432881,-0.0234598,2916.74,5495.29,1.003
"z_m_s_15[7,2]",-0.225222,0.00434946,0.355136,0.349422,-0.815459,-0.224184,0.357157,6750.22,6205.45,1.00062
