,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
z_m_0_30[12],0.100766,0.000348949,0.0280844,0.0550229,0.100459,0.147265,6477.47,9.05555,1.00049
z_m_0_30[13],0.0848628,0.000362946,0.029166,0.0368106,0.0846973,0.132387,6457.59,9.02776,1.00116
z_m_0_30[14],0.0699041,0.000350707,0.0288787,0.0230294,0.0697002,0.117694,6780.61,9.47934,1.00141
z_m_0_30[15],0.0423178,0.000349053,0.0284591,-0.00414785,0.0419811,0.0895975,6647.51,9.29326,1.00084
z_m_0_30[16],0.0223449,0.000350375,0.0298127,-0.0266664,0.0226607,0.0709437,7239.93,10.1215,1.00079
z_m_0_30[17],-0.0215066,0.00036177,0.0301513,-0.0723313,-0.0211094,0.0277995,6946.2,9.71084,1.00028
z_m_0_30[18],-0.00960295,0.000361004,0.030657,-0.0599568,-0.00936279,0.0408065,7211.66,10.082,0.999714
z_m_0_30[19],-0.0603984,0.000359429,0.0309061,-0.110255,-0.0605698,-0.00893394,7393.69,10.3364,1.00045
z_m_0_30[20],-0.100653,0.00035313,0.030768,-0.150752,-0.100701,-0.0500768,7591.53,10.613,1.00017
z_m_0_30[21],-0.124856,0.000347024,0.0304401,-0.174333,-0.124929,-0.0752402,7694.37,10.7568,1.00064
z_m_0_30[22],-0.156727,0.000358962,0.0312299,-0.207993,-0.156709,-0.105482,7569.1,10.5817,1.00017
z_m_0_30[23],-0.214136,0.000338589,0.0293883,-0.261575,-0.213874,-0.165497,7533.6,10.532,1.00036
z_m_0_30[24],-0.241778,0.000356208,0.0301737,-0.292017,-0.241797,-0.192006,7175.47,10.0314,0.999952
z_m_0_30[25],-0.310998,0.000355283,0.0318482,-0.363166,-0.311125,-0.258129,8035.6,11.2338,1.00003
z_m_0_30[26],-0.335066,0.000349627,0.0299602,-0.384713,-0.334868,-0.285928,7343.07,10.2657,1.00038
z_m_0_30[27],-0.36774,0.000353166,0.0301825,-0.417145,-0.36782,-0.318071,7303.89,10.2109,1.00004
z_m_0_30[28],-0.385885,0.000355307,0.0312528,-0.436903,-0.385725,-0.334084,7736.92,10.8163,1.00021
z_m_0_30[29],-0.472088,0.000350629,0.029805,-0.520616,-0.47233,-0.423531,7225.74,10.1016,1.0006
z_m_0_30[30],-0.486258,0.000347908,0.0307475,-0.536394,-0.486407,-0.434919,7810.71,10.9194,0.999599
z_m_0_30[31],-0.53228,0.00036135,0.0304252,-0.581389,-0.532717,-0.482345,7089.41,9.91105,1.00039
tau,1.30431,0.00069,0.0371,1.24279,1.30456,1.36542,2902.74944,4.05806,1.00254
"z_m_s_15[1,1]",0.362737,0.00487547,0.375694,-0.252006,0.362542,0.971585,5937.95,8.30129,1.00131
"z_m_s_15[1,2]",0.730328,0.00448969,0.385149,0.0884576,0.731708,1.35241,7359.07,10.288,1.00054
"z_m_s_15[1,3]",1.16339,0.00464576,0.474348,0.379658,1.17119,1.93137,10425.1,14.5744,1.00033
"z_m_s_15[1,4]",0.723589,0.00464786,0.452863,-0.028347,0.725573,1.45294,9493.54,13.272,0.999513
"z_m_s_15[1,5]",1.33203,0.00502523,0.449032,0.566713,1.34295,2.0499,7984.41,11.1623,1.00039
"z_m_s_15[1,6]",1.54777,0.00475029,0.424344,0.846379,1.55214,2.24208,7979.86,11.1559,1.00047
"z_m_s_15[1,7]",0.631795,0.00422669,0.40096,-0.0310414,0.637419,1.28077,8999.11,12.5808,0.999874
"z_m_s_15[1,8]",0.127302,0.00428844,0.336973,-0.426469,0.12872,0.683833,6174.38,8.63182,1.00115
"z_m_s_15[1,9]",0.233449,0.00422259,0.370463,-0.37614,0.234014,0.845171,7697.21,10.7608,1.00057
"z_m_s_15[1,10]",-0.576608,0.00451851,0.402096,-1.22484,-0.579644,0.103419,7918.96,11.0708,0.999984
"z_m_s_15[1,11]",-0.0728605,0.00433728,0.410299,-0.7467,-0.0739578,0.602906,8948.82,12.5105,1.00049
"z_m_s_15[1,12]",-0.3239,0.00471292,0.500492,-1.14722,-0.320875,0.510229,11277.5,15.7661,0.999386
"z_m_s_15[1,13]",0.943129,0.00459714,0.466852,0.169201,0.949456,1.70156,10313.0,14.4176,0.999705
"z_m_s_15[1,14]",0.364173,0.00450252,0.473352,-0.414193,0.369461,1.14494,11052.4,15.4514,0.999848
"z_m_s_15[1,15]",0.0776635,0.00455035,0.461525,-0.688077,0.0818237,0.834567,10287.3,14.3817,0.99948
"z_m_s_15[1,16]",-0.282641,0.00440184,0.36597,-0.881291,-0.281549,0.309435,6912.27,9.66341,1.00097
"z_m_s_15[2,1]",1.21944,0.00493933,0.472905,0.436372,1.22353,1.98519,9166.68,12.8151,1.00011
"z_m_s_15[2,2]",0.811944,0.00451626,0.399228,0.149269,0.81354,1.45294,7814.2,10.9243,1.00018
"z_m_s_15[2,3]",1.44929,0.00480817,0.50486,0.607827,1.45289,2.27297,11025.1,15.4132,1.00034
"z_m_s_15[2,4]",1.24638,0.00480501,0.445549,0.514217,1.25297,1.96664,8598.08,12.0202,1.00059
"z_m_s_15[2,5]",1.9472,0.00429335,0.372705,1.32756,1.95205,2.54841,7535.92,10.5353,1.00109
"z_m_s_15[2,6]",1.07501,0.00447752,0.42577,0.35934,1.08596,1.76395,9042.23,12.6411,1.001
"z_m_s_15[2,7]",1.50392,0.0046579,0.479258,0.700784,1.51302,2.28393,10586.6,14.8002,1.00006
"z_m_s_15[2,8]",0.904991,0.00432178,0.380982,0.265363,0.91103,1.52257,7771.15,10.8641,1.00099
"z_m_s_15[2,9]",0.705976,0.00465638,0.495885,-0.117728,0.714755,1.50446,11341.3,15.8553,0.999478
"z_m_s_15[2,10]",1.08525,0.00446728,0.414839,0.396503,1.08859,1.76296,8623.29,12.0554,0.99989
"z_m_s_15[2,11]",0.521071,0.00499445,0.517193,-0.325188,0.525821,1.36216,10723.3,14.9913,1.0003
"z_m_s_15[2,12]",0.971336,0.00478403,0.493975,0.141923,0.980744,1.76989,10661.6,14.905,1.00003
"z_m_s_15[2,13]",0.8608,0.00432268,0.408329,0.190539,0.863061,1.53675,8923.07,12.4745,0.999511
"z_m_s_15[2,14]",0.460357,0.00413371,0.383531,-0.172227,0.46081,1.08901,8608.41,12.0346,0.999511
"z_m_s_15[2,15]",0.63595,0.00430096,0.364741,0.0365832,0.638083,1.23755,7191.83,10.0542,1.00058
"z_m_s_15[2,16]",0.539345,0.00471082,0.466783,-0.245422,0.544151,1.28509,9818.35,13.7261,1.00029
"z_m_s_15[3,1]",0.379197,0.00501128,0.383334,-0.237066,0.382128,1.00009,5851.36,8.18025,1.00056
"z_m_s_15[3,2]",-0.478082,0.00438801,0.386688,-1.11306,-0.484051,0.16739,7765.79,10.8566,1.00022
"z_m_s_15[3,3]",-0.180825,0.00446059,0.49518,-0.97777,-0.183297,0.642525,12323.7,17.2286,1.00054
"z_m_s_15[3,4]",0.20651,0.00484712,0.548086,-0.698203,0.201998,1.10894,12785.9,17.8747,0.999796
"z_m_s_15[3,5]",-0.607801,0.00468347,0.426897,-1.30135,-0.616123,0.0988704,8308.28,11.615,1.00095
"z_m_s_15[3,6]",-0.404266,0.00465074,0.50839,-1.24277,-0.402505,0.429605,11949.5,16.7055,1.0005
"z_m_s_15[3,7]",-0.982009,0.00482168,0.538866,-1.86005,-0.982351,-0.0897275,12490.1,17.4612,0.99977
"z_m_s_15[3,8]",-0.765673,0.00452847,0.443967,-1.49421,-0.767122,-0.0365804,9611.65,13.4372,1.00023
"z_m_s_15[3,9]",-0.397197,0.00436701,0.507954,-1.22565,-0.403406,0.460928,13529.5,18.9143,1.00058
"z_m_s_15[3,10]",-1.37948,0.00496613,0.575314,-2.30353,-1.38509,-0.433556,13420.7,18.7622,0.999844
"z_m_s_15[3,11]",-0.698269,0.00448126,0.467647,-1.46832,-0.700592,0.0757513,10890.2,15.2245,0.999445
"z_m_s_15[3,12]",0.475726,0.00456291,0.471025,-0.296362,0.474928,1.2331,10656.2,14.8975,0.999618
"z_m_s_15[3,13]",-0.402604,0.00459719,0.502766,-1.21831,-0.404075,0.422571,11960.4,16.7207,0.999573
"z_m_s_15[3,14]",-1.04662,0.00441905,0.476744,-1.82333,-1.04446,-0.258213,11638.9,16.2713,1.0
"z_m_s_15[3,15]",-0.119264,0.00464765,0.467674,-0.877453,-0.121779,0.643933,10125.6,14.1556,1.00008
"z_m_s_15[3,16]",-0.752255,0.00448592,0.421582,-1.43964,-0.751207,-0.055606,8832.03,12.3472,0.999892
"z_m_s_15[4,1]",0.827563,0.00515847,0.520253,-0.0250298,0.83325,1.68192,10171.5,14.2199,0.999871
"z_m_s_15[4,2]",1.0191,0.00456678,0.473693,0.240471,1.02014,1.79621,10759.0,15.0412,0.999917
"z_m_s_15[4,3]",0.305446,0.00427524,0.409961,-0.369063,0.310743,0.967483,9195.29,12.8551,1.00041
"z_m_s_15[4,4]",0.322326,0.00463767,0.493247,-0.510505,0.32997,1.12338,11311.7,15.8139,0.999727
"z_m_s_15[4,5]",1.26699,0.00450445,0.40598,0.586737,1.27228,1.91864,8123.16,11.3562,1.00035
"z_m_s_15[4,6]",0.461837,0.00421738,0.375633,-0.165459,0.465611,1.06681,7933.07,11.0905,1.00072
"z_m_s_15[4,7]",0.31501,0.00445173,0.436284,-0.40833,0.32125,1.02986,9604.62,13.4273,0.99985
"z_m_s_15[4,8]",0.591771,0.00471372,0.46956,-0.192011,0.598187,1.35993,9923.26,13.8728,0.999784
"z_m_s_15[4,9]",0.0914729,0.00430647,0.438919,-0.626717,0.0932603,0.803294,10387.9,14.5223,1.00027
"z_m_s_15[4,10]",-0.0984796,0.00460209,0.477486,-0.877071,-0.100762,0.688279,10764.9,15.0494,0.999588
"z_m_s_15[4,11]",0.693595,0.00430369,0.39925,0.0323212,0.698855,1.33683,8606.14,12.0314,1.00063
"z_m_s_15[4,12]",-0.166199,0.00485285,0.481421,-0.960325,-0.166269,0.627528,9841.35,13.7583,0.999503
"z_m_s_15[4,13]",-0.0976576,0.004798,0.461864,-0.863722,-0.0951453,0.662098,9266.33,12.9544,0.99966
"z_m_s_15[4,14]",0.380285,0.00431982,0.431528,-0.329427,0.384515,1.08772,9979.0,13.9507,0.999359
"z_m_s_15[4,15]",0.149912,0.0044239,0.421167,-0.531668,0.150903,0.849648,9063.53,12.6709,0.999838
"z_m_s_15[4,16]",-0.832686,0.00518402,0.569565,-1.75048,-0.840106,0.122013,12071.3,16.8757,0.999953
"z_m_s_15[5,1]",-0.653817,0.00481511,0.2334,-1.04121,-0.650681,-0.276291,2349.58,3.28473,1.00299
"z_m_s_15[5,2]",-1.02849,0.00432969,0.300543,-1.51648,-1.02856,-0.539498,4818.37,6.73612,1.00042
"z_m_s_15[5,3]",-1.24908,0.00476582,0.437266,-1.96003,-1.25687,-0.516328,8418.13,11.7686,1.00051
"z_m_s_15[5,4]",-1.02123,0.00447569,0.412555,-1.69592,-1.02143,-0.342769,8496.56,11.8783,1.0002
"z_m_s_15[5,5]",-0.560779,0.00453466,0.432941,-1.26378,-0.569227,0.156742,9115.24,12.7432,1.00014
"z_m_s_15[5,6]",-0.733167,0.00426762,0.375214,-1.34701,-0.734831,-0.121569,7730.13,10.8068,1.00109
"z_m_s_15[5,7]",-0.00522454,0.00394368,0.326108,-0.542455,-0.00787842,0.541066,6837.85,9.55937,0.999992
"z_m_s_15[5,8]",-0.691238,0.00478121,0.439135,-1.40322,-0.6926,0.0364689,8435.71,11.7932,1.00074
"z_m_s_15[5,9]",-0.941311,0.00448943,0.465586,-1.68317,-0.949835,-0.165324,10755.2,15.0358,0.999862
"z_m_s_15[5,10]",-0.236342,0.00426345,0.377592,-0.855647,-0.2363,0.378001,7843.75,10.9656,1.00021
"z_m_s_15[5,11]",-0.246732,0.00444371,0.40713,-0.910725,-0.244161,0.429047,8394.09,11.735,1.0008
"z_m_s_15[5,12]",-0.738848,0.0043967,0.414141,-1.41475,-0.739853,-0.0535161,8872.45,12.4037,0.999739
"z_m_s_15[5,13]",-0.673431,0.00469004,0.450405,-1.40281,-0.669785,0.066143,9222.6,12.8933,0.999673
"z_m_s_15[5,14]",-0.710854,0.00446652,0.461515,-1.46096,-0.714212,0.0539987,10676.6,14.9259,0.999958
"z_m_s_15[5,15]",0.146621,0.00442831,0.458055,-0.597516,0.145877,0.887542,10699.4,14.9579,1.00003
"z_m_s_15[5,16]",-0.207773,0.00467874,0.494982,-1.01923,-0.206123,0.599722,11192.4,15.647,1.00037
"z_m_s_15[6,1]",-0.66817,0.00487981,0.240041,-1.0565,-0.669552,-0.270635,2419.72,3.38279,1.00286
"z_m_s_15[6,2]",-0.715382,0.00421763,0.309586,-1.22715,-0.715485,-0.204209,5387.97,7.53241,1.00028
"z_m_s_15[6,3]",-1.29024,0.00421061,0.37221,-1.88615,-1.29577,-0.671677,7814.23,10.9243,1.00044
"z_m_s_15[6,4]",-0.499314,0.00462175,0.394622,-1.1436,-0.499113,0.156831,7290.35,10.192,1.00017
"z_m_s_15[6,5]",-0.503161,0.00436413,0.437181,-1.21182,-0.504582,0.222251,10035.2,14.0293,1.00081
"z_m_s_15[6,6]",0.334792,0.00450073,0.452853,-0.408953,0.337868,1.06713,10123.9,14.1533,1.00053
"z_m_s_15[6,7]",-0.197619,0.00440099,0.41193,-0.874523,-0.193215,0.474953,8760.83,12.2477,0.999727
"z_m_s_15[6,8]",-0.723151,0.00460107,0.407072,-1.37729,-0.727514,-0.0395623,7827.52,10.9429,1.00085
"z_m_s_15[6,9]",-0.029316,0.00429388,0.371834,-0.632533,-0.0226727,0.583758,7498.93,10.4836,1.00022
"z_m_s_15[6,10]",0.276303,0.00415819,0.374392,-0.34369,0.276035,0.892461,8106.69,11.3332,0.999983
"z_m_s_15[6,11]",0.809565,0.00423578,0.399842,0.161267,0.810362,1.46304,8910.65,12.4572,0.999921
"z_m_s_15[6,12]",0.964312,0.00444532,0.427786,0.251392,0.969359,1.65887,9260.78,12.9466,1.00026
"z_m_s_15[6,13]",1.0754,0.00424612,0.368561,0.472485,1.07548,1.68816,7534.15,10.5328,1.00009
"z_m_s_15[6,14]",0.690112,0.00417633,0.372126,0.0726171,0.696207,1.29167,7939.46,11.0994,0.999731
"z_m_s_15[6,15]",0.837246,0.00440121,0.3222,0.30154,0.837516,1.36086,5359.27,7.4923,1.00082
"z_m_s_15[6,16]",0.853834,0.00449984,0.375317,0.226388,0.857162,1.4642,6956.67,9.72548,1.00048
"z_m_s_15[7,1]",-0.431922,0.00489244,0.248999,-0.838717,-0.431398,-0.0203104,2590.27,3.62121,1.00261
"z_m_s_15[7,2]",-0.227138,0.00450168,0.354545,-0.80193,-0.227881,0.363453,6202.9,8.67169,1.00057
"z_m_s_15[7,3]",-0.588811,0.00417206,0.367784,-1.18812,-0.590833,0.00385302,7771.15,10.8641,1.00073
"z_m_s_15[7,4]",0.599182,0.00481288,0.481901,-0.19609,0.602757,1.38516,10025.5,14.0157,1.00028
"z_m_s_15[7,5]",0.574923,0.00423121,0.376081,-0.0454983,0.576459,1.18618,7900.11,11.0444,1.00095
"z_m_s_15[7,6]",1.05194,0.00453248,0.479871,0.242059,1.06326,1.81893,11209.3,15.6706,1.00026
"z_m_s_15[7,7]",0.291672,0.00437163,0.425939,-0.418092,0.289103,0.994656,9493.08,13.2714,0.999801
"z_m_s_15[7,8]",1.36572,0.00466369,0.442922,0.631932,1.37012,2.08605,9019.75,12.6097,1.00017
"z_m_s_15[7,9]",0.609565,0.00427506,0.363419,0.00657909,0.613503,1.21322,7226.57,10.1028,1.00085
"z_m_s_15[7,10]",1.2906,0.00529804,0.513083,0.42683,1.30397,2.10407,9378.74,13.1115,1.00028
"z_m_s_15[7,11]",0.801309,0.0044702,0.41691,0.115697,0.804832,1.47718,8698.24,12.1602,1.00066
"z_m_s_15[7,12]",0.442233,0.00422319,0.40205,-0.213251,0.445431,1.10935,9063.15,12.6703,1.00035
"z_m_s_15[7,13]",0.28445,0.00415914,0.316503,-0.230118,0.284304,0.80243,5790.94,8.09578,1.00014
"z_m_s_15[7,14]",0.477425,0.00431311,0.406108,-0.20236,0.482591,1.13807,8865.48,12.394,0.999774
"z_m_s_15[7,15]",1.06046,0.00426264,0.360305,0.466825,1.06338,1.63971,7144.68,9.98832,1.00028
"z_m_s_15[7,16]",0.481851,0.00418236,0.363494,-0.130901,0.485824,1.08064,7553.56,10.5599,1.00027
"z_m_s_15[8,1]",-0.309848,0.00514997,0.41772,-0.982804,-0.306685,0.389642,6579.01,9.1975,1.00065
"z_m_s_15[8,2]",0.422037,0.00441525,0.348469,-0.148688,0.421663,0.997385,6229.02,8.70821,1.00022
"z_m_s_15[8,3]",-0.193697,0.00454221,0.469487,-0.978535,-0.202603,0.582857,10683.5,14.9356,1.00063
"z_m_s_15[8,4]",0.258218,0.00443599,0.374073,-0.356596,0.262654,0.86882,7111.01,9.94125,1.00022
"z_m_s_15[8,5]",0.128561,0.00448339,0.395123,-0.519809,0.133067,0.768646,7766.95,10.8583,1.00052
"z_m_s_15[8,6]",0.358856,0.00436379,0.421596,-0.324777,0.360404,1.05842,9333.95,13.0489,1.00022
"z_m_s_15[8,7]",0.687934,0.00445153,0.425984,-0.00792298,0.690751,1.38288,9157.3,12.802,0.999792
"z_m_s_15[8,8]",0.108504,0.00442779,0.465634,-0.657322,0.106804,0.864865,11059.0,15.4605,0.999739
"z_m_s_15[8,9]",1.17877,0.00446493,0.403813,0.503925,1.18211,1.8298,8179.59,11.4351,1.00035
"z_m_s_15[8,10]",0.0913632,0.00491418,0.477349,-0.693111,0.0950061,0.879516,9435.63,13.1911,0.999975
"z_m_s_15[8,11]",0.268448,0.0042931,0.391087,-0.370318,0.265757,0.915787,8298.59,11.6015,1.00067
"z_m_s_15[8,12]",0.562496,0.00478162,0.510028,-0.287375,0.566207,1.3913,11377.2,15.9055,0.999744
"z_m_s_15[8,13]",-0.300873,0.0050166,0.532023,-1.16253,-0.299486,0.576253,11247.1,15.7236,0.999355
"z_m_s_15[8,14]",-0.0772859,0.0041683,0.382298,-0.696698,-0.0770878,0.564716,8411.75,11.7597,0.999605
"z_m_s_15[8,15]",-0.533223,0.0042957,0.381496,-1.16777,-0.534174,0.0919353,7886.98,11.0261,1.00016
"z_m_s_15[8,16]",0.525324,0.00461903,0.402753,-0.143409,0.524573,1.18759,7602.83,10.6288,1.00054
"z_m_s_15[9,1]",0.581811,0.00512202,0.365285,-0.0235698,0.588876,1.16749,5086.04,7.11033,1.0008
"z_m_s_15[9,2]",0.3784,0.00459436,0.41993,-0.319109,0.385068,1.05646,8354.17,11.6792,1.00017
"z_m_s_15[9,3]",-0.523797,0.00413507,0.330822,-1.0716,-0.528328,0.0275103,6400.62,8.94811,1.00092
"z_m_s_15[9,4]",-0.423643,0.00439428,0.353818,-1.0006,-0.427199,0.163872,6483.13,9.06347,1.00071
"z_m_s_15[9,5]",-0.039051,0.00461388,0.418832,-0.729746,-0.0440834,0.637427,8240.39,11.5201,1.00028
"z_m_s_15[9,6]",-0.443878,0.00443702,0.385358,-1.07567,-0.443331,0.197728,7543.06,10.5453,1.00167
"z_m_s_15[9,7]",-1.09942,0.00430932,0.365834,-1.695,-1.09934,-0.491557,7206.94,10.0754,1.00023
"z_m_s_15[9,8]",-0.502209,0.00438319,0.34879,-1.07342,-0.501547,0.0711322,6332.11,8.85233,1.00084
"z_m_s_15[9,9]",-0.539162,0.00405425,0.326299,-1.07069,-0.540053,4.41625e-05,6477.53,9.05563,0.999974
"z_m_s_15[9,10]",-0.845561,0.00465012,0.407148,-1.51196,-0.845701,-0.176805,7666.14,10.7173,1.0008
"z_m_s_15[9,11]",-0.995376,0.00419503,0.406493,-1.64945,-1.00192,-0.312286,9389.36,13.1264,1.00001
"z_m_s_15[9,12]",-0.870788,0.00455567,0.446928,-1.59525,-0.875614,-0.138565,9624.31,13.4549,1.0002
"z_m_s_15[9,13]",-1.38395,0.00496194,0.435139,-2.09069,-1.3919,-0.668682,7690.45,10.7513,1.00011
"z_m_s_15[9,14]",-1.16914,0.00414777,0.422649,-1.85546,-1.18089,-0.471815,10383.2,14.5157,0.999778
"z_m_s_15[9,15]",-0.922048,0.00454661,0.451049,-1.6585,-0.9285,-0.182275,9841.75,13.7588,1.00007
"z_m_s_15[9,16]",-1.41123,0.00453741,0.443715,-2.11582,-1.4169,-0.675966,9562.95,13.3691,0.999881
"z_m_s_15[10,1]",-0.341375,0.0051931,0.304232,-0.835782,-0.347344,0.160826,3432.08,4.79807,1.00192
"z_m_s_15[10,2]",-0.830592,0.00443659,0.343081,-1.38446,-0.832786,-0.25724,5979.89,8.35993,1.00005
"z_m_s_15[10,3]",-0.731818,0.00446985,0.449537,-1.45385,-0.735748,0.0259372,10114.5,14.1401,1.00059
"z_m_s_15[10,4]",-0.663504,0.00448561,0.419671,-1.35194,-0.663938,0.0265576,8753.37,12.2373,1.00078
"z_m_s_15[10,5]",-0.766954,0.00429628,0.383719,-1.38209,-0.770152,-0.131873,7977.01,11.1519,1.0009
"z_m_s_15[10,6]",-1.43383,0.00433222,0.355218,-2.01544,-1.44316,-0.844532,6723.08,9.39891,1.00209
"z_m_s_15[10,7]",-1.09196,0.00430831,0.423388,-1.78299,-1.08764,-0.403153,9657.45,13.5012,0.999428
"z_m_s_15[10,8]",-0.101121,0.00427,0.406119,-0.769225,-0.095794,0.562914,9045.87,12.6462,1.00085
"z_m_s_15[10,9]",-0.846552,0.00493853,0.510464,-1.6753,-0.85521,0.00136343,10684.0,14.9363,0.999708
"z_m_s_15[10,10]",-0.357486,0.00431554,0.400149,-1.01758,-0.360239,0.297641,8597.54,12.0194,1.00043
"z_m_s_15[10,11]",-0.409022,0.00442431,0.396141,-1.06089,-0.411927,0.241259,8016.96,11.2078,1.00032
"z_m_s_15[10,12]",-0.41386,0.00425365,0.409864,-1.07652,-0.416214,0.262721,9284.43,12.9797,1.00031
"z_m_s_15[10,13]",-0.527446,0.00434197,0.370304,-1.13033,-0.531647,0.0884338,7273.51,10.1684,1.00011
"z_m_s_15[10,14]",-0.128822,0.00421771,0.406828,-0.797492,-0.128279,0.540733,9303.98,13.007,0.999583
"z_m_s_15[10,15]",0.853205,0.00437881,0.416073,0.17581,0.853356,1.51927,9028.74,12.6222,1.00023
"z_m_s_15[10,16]",-0.528102,0.00466987,0.486978,-1.32404,-0.532606,0.281668,10874.5,15.2027,0.999988
"z_m_s_15[11,1]",-0.00673729,0.00491531,0.338583,-0.56939,-0.00259985,0.54584,4744.93,6.63345,1.00158
"z_m_s_15[11,2]",0.419873,0.00438312,0.448501,-0.313513,0.424002,1.14158,10470.3,14.6376,0.999781
"z_m_s_15[11,3]",0.398533,0.00464383,0.50707,-0.419803,0.397091,1.23373,11922.9,16.6683,0.999815
"z_m_s_15[11,4]",-0.123731,0.00453504,0.395666,-0.771367,-0.117041,0.524467,7611.92,10.6415,1.00071
"z_m_s_15[11,5]",-0.0825075,0.00459898,0.458911,-0.83673,-0.0809332,0.67997,9957.12,13.9201,1.00107
"z_m_s_15[11,6]",0.455005,0.00486737,0.523791,-0.413293,0.455633,1.31621,11580.5,16.1896,0.999986
"z_m_s_15[11,7]",1.25113,0.00473321,0.49849,0.413805,1.25324,2.05583,11091.8,15.5064,0.99951
"z_m_s_15[11,8]",0.336582,0.00490815,0.560059,-0.593705,0.340112,1.25995,13020.6,18.2029,0.999793
"z_m_s_15[11,9]",0.575973,0.00451312,0.480594,-0.226835,0.578481,1.35235,11339.8,15.8531,1.00024
"z_m_s_15[11,10]",0.443184,0.00418984,0.351782,-0.145368,0.448408,1.01436,7049.4,9.8551,1.00032
"z_m_s_15[11,11]",1.30108,0.0045605,0.483644,0.50037,1.30795,2.07558,11246.7,15.723,0.99992
"z_m_s_15[11,12]",0.703731,0.00428006,0.432843,-0.00306854,0.706436,1.41752,10227.3,14.2978,1.00018
"z_m_s_15[11,13]",1.42309,0.00415125,0.29501,0.934479,1.42763,1.90206,5050.28,7.06032,1.00062
"z_m_s_15[11,14]",1.0922,0.00400049,0.338018,0.527228,1.09533,1.64894,7139.28,9.98076,0.999405
"z_m_s_15[11,15]",0.0401635,0.00476083,0.475846,-0.742267,0.0416067,0.817402,9990.02,13.9661,1.00021
"z_m_s_15[11,16]",0.787304,0.0044899,0.353149,0.203036,0.789059,1.35209,6186.46,8.64872,1.00061
"z_m_s_15[12,1]",-0.263173,0.00490919,0.274179,-0.719613,-0.264172,0.188665,3119.25,4.36073,1.00227
