,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
lp__,-27492.9,1.44558,64.0762,-27598.5,-27492.7,-27387.4,1964.75,2.74674,1.00541
z_m_0_15[1],0.114643,0.000609669,0.022097,0.0786474,0.114326,0.150892,1313.64,1.83648,1.00648
z_m_0_15[2],0.0997648,0.000490578,0.02197,0.0636312,0.0999032,0.135862,2005.6,2.80384,1.00283
z_m_0_15[3],0.116497,0.00045061,0.0228254,0.0779497,0.116756,0.153092,2565.87,3.5871,1.00471
z_m_0_15[4],0.101402,0.000489764,0.0229855,0.0631486,0.101322,0.139929,2202.59,3.07923,1.00383
z_m_0_15[5],0.114138,0.000494439,0.0226599,0.0765789,0.114112,0.151457,2100.36,2.93631,1.00532
z_m_0_15[6],0.120281,0.000465485,0.0227138,0.0826224,0.120354,0.157305,2381.05,3.32873,1.00639
z_m_0_15[7],0.110324,0.000454067,0.0226104,0.0729317,0.110054,0.147638,2479.57,3.46646,1.00156
z_m_0_15[8],0.0656091,0.000463249,0.0225834,0.0284394,0.0654319,0.102426,2376.57,3.32246,1.00456
z_m_0_15[9],0.0516681,0.000453982,0.0227661,0.0137941,0.0517216,0.0886915,2514.79,3.51569,1.00227
z_m_0_15[10],0.00982045,0.000481709,0.0229855,-0.0273219,0.00986076,0.0478358,2276.88,3.1831,1.00337
z_m_0_15[11],-0.0154164,0.000454134,0.0226882,-0.052596,-0.01568,0.0221496,2495.94,3.48934,1.00404
z_m_0_15[12],-0.0362008,0.000434285,0.0232438,-0.0742384,-0.0361121,0.00181388,2864.6,4.00472,1.00139
z_m_0_15[13],-0.101626,0.000471164,0.0225977,-0.138769,-0.101565,-0.0647792,2300.3,3.21584,1.00191
z_m_0_15[14],-0.142019,0.000437827,0.0225968,-0.179153,-0.142504,-0.104491,2663.73,3.72392,1.00072
z_m_0_15[15],-0.187197,0.000460175,0.0228172,-0.224263,-0.187421,-0.150403,2458.56,3.43708,1.00179
z_m_0_15[16],-0.243115,0.000471344,0.0231132,-0.281432,-0.242856,-0.204972,2404.61,3.36166,1.00319
z_m_0_30[1],0.0930133,0.000537356,0.0236575,0.0542409,0.0928148,0.132009,1938.27,2.70971,1.00351
z_m_0_30[2],0.0966752,0.000394191,0.0256588,0.0543083,0.0966809,0.138159,4237.0,5.92335,1.00128
z_m_0_30[3],0.118613,0.000378535,0.0262524,0.0752341,0.118595,0.161214,4809.79,6.72411,1.0015
z_m_0_30[4],0.120665,0.000394502,0.0258,0.078337,0.120835,0.163033,4277.03,5.97932,1.00115
z_m_0_30[5],0.138881,0.000353263,0.0268234,0.094587,0.138821,0.183014,5765.45,8.06014,1.00161
z_m_0_30[6],0.160915,0.000366655,0.0261503,0.117536,0.161009,0.203693,5086.72,7.11127,1.00088
z_m_0_30[7],0.168639,0.000351443,0.0274433,0.123779,0.168878,0.214742,6097.66,8.52457,1.00066
z_m_0_30[8],0.149264,0.000350569,0.0272829,0.103928,0.14945,0.194429,6056.69,8.46729,1.00038
z_m_0_30[9],0.141397,0.000360467,0.0275961,0.0962967,0.141031,0.186504,5860.91,8.19359,1.00036
z_m_0_30[10],0.149627,0.00035335,0.026707,0.105918,0.149272,0.193687,5712.69,7.98638,1.00011
z_m_0_30[11],0.0876625,0.000357868,0.029465,0.0393488,0.0874124,0.136662,6779.0,9.47709,1.00071
