subject	model_label	fit_response	smoothed	spherical_noise	separate_sigmas	n	fisher_information	condition
1	18	False	True	True	False	16.0	0.30923602	wide
1	18	False	True	True	False	17.0	0.18652228	wide
1	18	False	True	True	False	18.0	0.104258746	wide
1	18	False	True	True	False	19.0	0.0647617	wide
1	18	False	True	True	False	20.0	0.0483515	wide
1	18	False	True	True	False	21.0	0.04193656	wide
1	18	False	True	True	False	22.0	0.039432794	wide
1	18	False	True	True	False	23.0	0.038407292	wide
1	18	False	True	True	False	24.0	0.03792953	wide
1	18	False	True	True	False	25.0	0.037627622	wide
1	18	False	True	True	False	26.0	0.03733923	wide
1	18	False	True	True	False	27.0	0.03698965	wide
1	18	False	True	True	False	28.0	0.036546424	wide
1	18	False	True	True	False	29.0	0.035999693	wide
1	18	False	True	True	False	30.0	0.035352133	wide
1	18	False	True	True	False	31.0	0.034612957	wide
1	18	False	True	True	False	32.0	0.033794668	wide
1	18	False	True	True	False	33.0	0.03291092	wide
1	18	False	True	True	False	34.0	0.03197533	wide
1	18	False	True	True	False	35.0	0.031000797	wide
1	18	False	True	True	False	36.0	0.029999094	wide
1	18	False	True	True	False	37.0	0.028980754	wide
1	18	False	True	True	False	38.0	0.027954979	wide
1	18	False	True	True	False	39.0	0.026929677	wide
1	18	False	True	True	False	40.0	0.025911545	wide
1	18	False	True	True	True	10.0	6.562608	narrow
1	18	False	True	True	True	11.0	3.6258912	narrow
1	18	False	True	True	True	12.0	0.89674526	narrow
1	18	False	True	True	True	13.0	0.79154843	narrow
1	18	False	True	True	True	14.0	0.38180488	narrow
1	18	False	True	True	True	15.0	0.18968526	narrow
1	18	False	True	True	True	16.0	0.13920248	narrow
1	18	False	True	True	True	17.0	0.12915726	narrow
1	18	False	True	True	True	18.0	0.12734437	narrow
1	18	False	True	True	True	19.0	0.1263311	narrow
1	18	False	True	True	True	20.0	0.12459971	narrow
1	18	False	True	True	True	21.0	0.12190492	narrow
1	18	False	True	True	True	22.0	0.11831589	narrow
1	18	False	True	True	True	23.0	0.11399324	narrow
1	18	False	True	True	True	24.0	0.10911833	narrow
1	18	False	True	True	True	25.0	0.10386467	narrow
1	18	False	True	True	True	10.0	0.6486657	wide
1	18	False	True	True	True	11.0	2.8934658	wide
1	18	False	True	True	True	12.0	2.1490235	wide
1	18	False	True	True	True	13.0	0.88028115	wide
1	18	False	True	True	True	14.0	0.2533924	wide
1	18	False	True	True	True	15.0	0.43016222	wide
