subject	model_label	fit_response	smoothed	spherical_noise	many_samples	wide		range	n	mean_E	mean_error	var_E	mean_abs_error
1	15	False	True	True	False	False	0	narrow	10.0	10.611801	0.6118004837036133	1.4254483	0.6118004856109619
1	15	False	True	True	False	False	1	narrow	11.0	11.137037	0.1370367593765258	0.24379861	0.1900356836318969
1	15	False	True	True	False	False	2	narrow	12.0	12.139342	0.139342939376831	0.35881853	0.2793426189422607
1	15	False	True	True	False	False	3	narrow	13.0	13.040127	0.0401272897720336	0.6058303	0.4767467126846313
1	15	False	True	True	False	False	4	narrow	14.0	14.28704	0.2870402698516845	0.8270214	0.6571564025878907
1	15	False	True	True	False	False	5	narrow	15.0	15.252344	0.2523436613082885	0.8826623	0.7118556203842163
1	15	False	True	True	False	False	6	narrow	16.0	16.086353	0.086353322982788	0.9375087	0.7198579845428467
1	15	False	True	True	False	False	7	narrow	17.0	17.027475	0.0274741516113281	1.2017344	0.796147720336914
1	15	False	True	True	False	False	8	narrow	18.0	17.979069	-0.0209319725036621	1.0942994	0.7857815742492675
1	15	False	True	True	False	False	9	narrow	19.0	18.951653	-0.0483481273651123	1.143133	0.7935261516571045
1	15	False	True	True	False	False	10	narrow	20.0	19.926035	-0.0739646682739257	1.0845646	0.7535847511291504
1	15	False	True	True	False	False	11	narrow	21.0	20.99253	-0.0074696941375732	0.9703946	0.7523039646148681
1	15	False	True	True	False	False	12	narrow	22.0	21.951807	-0.048194314956665	0.9571697	0.7092637996673584
1	15	False	True	True	False	False	13	narrow	23.0	22.835667	-0.1643333148956298	0.77280563	0.6462888622283935
1	15	False	True	True	False	False	14	narrow	24.0	23.61393	-0.3860694580078125	0.5833345	0.5953648872375489
1	15	False	True	True	False	False	15	narrow	25.0	24.169704	-0.830294225692749	0.45361418	0.830294225692749
1	15	False	True	True	False	False	16	wide	10.0	10.711574	0.7115732421875	3.1483912	0.7115732479095459
1	15	False	True	True	False	False	17	wide	11.0	11.25906	0.2590596418380737	0.7911717	0.2789258279800415
1	15	False	True	True	False	False	18	wide	12.0	12.387812	0.3878116092681885	0.7975524	0.50457106590271
1	15	False	True	True	False	False	19	wide	13.0	13.3290205	0.3290203323364258	0.5597062	0.490214427947998
1	15	False	True	True	False	False	20	wide	14.0	13.9758625	-0.024138180732727	0.65982664	0.5512036485671997
1	15	False	True	True	False	False	21	wide	15.0	15.126781	0.1267808647155761	1.1352397	0.7043618392944336
1	15	False	True	True	False	False	22	wide	16.0	16.243744	0.2437431087493896	1.5310737	0.8582054500579834
1	15	False	True	True	False	False	23	wide	17.0	17.517147	0.5171470375061035	1.7659572	1.0347861976623536
1	15	False	True	True	False	False	24	wide	18.0	18.475338	0.4753373308181762	1.843096	1.0623360509872437
1	15	False	True	True	False	False	25	wide	19.0	19.347694	0.3476943712234497	1.9171895	1.092246905326843
1	15	False	True	True	False	False	26	wide	20.0	20.117975	0.1179741868972778	1.885584	1.0663344144821167
1	15	False	True	True	False	False	27	wide	21.0	20.845629	-0.1543711605072021	1.9394137	1.077520441055298
1	15	False	True	True	False	False	28	wide	22.0	21.551943	-0.4480570945739746	2.0283918	1.083656768798828
1	15	False	True	True	False	False	29	wide	23.0	22.373308	-0.6266914854049682	1.7172174	1.0156451749801636
1	15	False	True	True	False	False	30	wide	24.0	22.971275	-1.028724045753479	1.4319803	1.1038186349868775
1	15	False	True	True	False	False	31	wide	25.0	23.430729	-1.5692713527679445	1.3358209	1.5692713527679445
1	15	False	True	True	True	False	0	narrow	10.0	10.631045	0.6310453100681305	1.2765769	0.6310453129291534
1	15	False	True	True	True	False	1	narrow	11.0	11.175836	0.1758361900329589	0.2593814	0.2191620344161987
1	15	False	True	True	True	False	2	narrow	12.0	12.060424	0.0604242807388305	0.28201744	0.2730171352386474
1	15	False	True	True	True	False	3	narrow	13.0	13.059976	0.0599760859966278	0.5963559	0.4744820655345916
1	15	False	True	True	True	False	4	narrow	14.0	14.295382	0.2953819719314575	0.7793619	0.6490805910110473
1	15	False	True	True	True	False	5	narrow	15.0	15.247344	0.2473442890167236	0.85272616	0.6860026965141296
1	15	False	True	True	True	False	6	narrow	16.0	16.08264	0.0826393204689025	0.9442481	0.7217243298530579
1	15	False	True	True	True	False	7	narrow	17.0	16.99287	-0.0071293348789215	1.0461819	0.7700647678852082
1	15	False	True	True	True	False	8	narrow	18.0	17.9577	-0.0422978866100311	1.104533	0.7826979930400848
1	15	False	True	True	True	False	9	narrow	19.0	18.947132	-0.0528667424201965	1.1038374	0.7824143773078919
1	15	False	True	True	True	False	10	narrow	20.0	19.955585	-0.044413543510437	1.06253	0.7642162761688233
1	15	False	True	True	True	False	11	narrow	21.0	20.956755	-0.0432454836845397	0.9882209	0.741573869228363
1	15	False	True	True	True	False	12	narrow	22.0	21.93353	-0.066469233751297	0.8986959	0.7143582586765289
1	15	False	True	True	True	False	13	narrow	23.0	22.83665	-0.1633498556137085	0.73441195	0.6416947219848633
1	15	False	True	True	True	False	14	narrow	24.0	23.61388	-0.3861207993030548	0.58304405	0.5877278238773346
1	15	False	True	True	True	False	15	narrow	25.0	24.201122	-0.798878252696991	0.43964523	0.798878252696991
1	15	False	True	True	True	False	16	wide	10.0	10.580547	0.5805470438957214	2.29056	0.5805470522880554
1	15	False	True	True	True	False	17	wide	11.0	11.314839	0.3148390545845032	0.93453646	0.3606985855102539
1	15	False	True	True	True	False	18	wide	12.0	12.343889	0.3438889921188354	0.67550844	0.4813603810310364
1	15	False	True	True	True	False	19	wide	13.0	13.286933	0.2869322549343109	0.4870519	0.4916815449237823
1	15	False	True	True	True	False	20	wide	14.0	13.972953	-0.0270472600460052	0.6530098	0.5516287710666656
1	15	False	True	True	True	False	21	wide	15.0	15.032141	0.0321405222892761	1.1345825	0.7249020873069764
1	15	False	True	True	True	False	22	wide	16.0	16.331963	0.3319626908779144	1.5706313	0.8992449614048004
1	15	False	True	True	True	False	23	wide	17.0	17.509039	0.5090388391971589	1.7420609	1.0302203389644622
1	15	False	True	True	True	False	24	wide	18.0	18.49255	0.4925492661476135	1.831026	1.0825570755958558
1	15	False	True	True	True	False	25	wide	19.0	19.335325	0.3353254655361175	1.8599939	1.0763211176395415
1	15	False	True	True	True	False	26	wide	20.0	20.123787	0.1237879195213318	1.912886	1.0797833220481872
1	15	False	True	True	True	False	27	wide	21.0	20.896782	-0.1032180735588073	1.9595671	1.0855492245674134
1	15	False	True	True	True	False	28	wide	22.0	21.62007	-0.3799305727005005	1.8722453	1.069174559020996
1	15	False	True	True	True	False	29	wide	23.0	22.314095	-0.685906198835373	1.739318	1.0489243470668792
1	15	False	True	True	True	False	30	wide	24.0	22.909077	-1.0909233176231383	1.5368052	1.1660567366600036
1	15	False	True	True	True	False	31	wide	25.0	23.42155	-1.578449848651886	1.2449332	1.578449848651886
1	15	False	True	True	True	True	0	narrow	10.0	10.630006	0.6300059629440308	1.3526093	0.6300059650421143
1	15	False	True	True	True	True	1	narrow	11.0	11.185739	0.1857381108283996	0.31799945	0.2293085536956787
1	15	False	True	True	True	True	2	narrow	12.0	12.065138	0.0651380033493042	0.28019854	0.2725587028503418
1	15	False	True	True	True	True	3	narrow	13.0	13.058456	0.0584561067104339	0.6516483	0.4816903287410736
1	15	False	True	True	True	True	4	narrow	14.0	14.302636	0.3026358482837677	0.8116889	0.6494484782695771
1	15	False	True	True	True	True	5	narrow	15.0	15.246947	0.2469463064193725	0.8486491	0.6838152523040771
1	15	False	True	True	True	True	6	narrow	16.0	16.090977	0.0909759983539581	0.959189	0.724849499464035
1	15	False	True	True	True	True	7	narrow	17.0	16.983078	-0.0169224426269531	1.0640024	0.7680173305511475
1	15	False	True	True	True	True	8	narrow	18.0	17.952763	-0.0472378962993621	1.1016921	0.7787842280864715
1	15	False	True	True	True	True	9	narrow	19.0	18.953768	-0.04623344540596	1.1519123	0.7863089848041535
1	15	False	True	True	True	True	10	narrow	20.0	19.98207	-0.0179282974243164	1.2143371	0.7877794507980347
1	15	False	True	True	True	True	11	narrow	21.0	20.989729	-0.0102706658363342	1.0966207	0.7602159754753113
1	15	False	True	True	True	True	12	narrow	22.0	21.996916	-0.0030842177867889	1.1517702	0.7738769761562347
1	15	False	True	True	True	True	13	narrow	23.0	23.032629	0.0326288739204406	1.1746192	0.7787260142326355
1	15	False	True	True	True	True	14	narrow	24.0	24.029776	0.029777296924591	1.2474556	0.7965588927268982
1	15	False	True	True	True	True	15	narrow	25.0	25.034418	0.0344178119659423	1.2647359	0.8104381381988526
1	15	False	True	True	True	True	16	narrow	26.0	26.039783	0.0397839053630828	1.261787	0.8192934889316559
1	15	False	True	True	True	True	17	narrow	27.0	27.06139	0.0613906951904296	1.3348404	0.8438653142929077
1	15	False	True	True	True	True	18	narrow	28.0	28.079279	0.0792788046836853	1.4231325	0.8696690581321717
1	15	False	True	True	True	True	19	narrow	29.0	29.08621	0.0862090153694152	1.4773586	0.8910458930015563
1	15	False	True	True	True	True	20	narrow	30.0	30.105028	0.105026599407196	1.601137	0.9267336749076844
1	15	False	True	True	True	True	21	narrow	31.0	31.106619	0.1066182929039001	1.647146	0.9589916699409484
1	15	False	True	True	True	True	22	narrow	32.0	32.10678	0.1067826849937439	1.7285693	0.983010888004303
1	15	False	True	True	True	True	23	narrow	33.0	33.109383	0.109382122516632	1.8616724	1.030348308467865
1	15	False	True	True	True	True	24	narrow	34.0	34.108345	0.108346249961853	1.8014047	1.030820742225647
1	15	False	True	True	True	True	25	narrow	35.0	35.052658	0.0526597066879272	1.8306867	1.0407875577926635
1	15	False	True	True	True	True	26	narrow	36.0	35.986702	-0.0132954229354858	1.6627245	0.998659352684021
1	15	False	True	True	True	True	27	narrow	37.0	36.83867	-0.1613322486877441	1.5196388	0.9424516479492188
1	15	False	True	True	True	True	28	narrow	38.0	37.561478	-0.4385233832359314	1.3051425	0.8724231139183044
1	15	False	True	True	True	True	29	narrow	39.0	38.17756	-0.8224391386985779	1.019053	0.919850343990326
1	15	False	True	True	True	True	30	narrow	40.0	38.630356	-1.3696441177368164	0.85568047	1.3696441177368164
1	15	False	True	True	True	True	31	wide	10.0	10.626104	0.6261050194740295	3.1751108	0.6261050271034241
1	15	False	True	True	True	True	32	wide	11.0	11.324862	0.3248619587421417	1.1361133	0.3670165196895599
1	15	False	True	True	True	True	33	wide	12.0	12.371922	0.3719208261489868	1.0242331	0.5139461226463318
1	15	False	True	True	True	True	34	wide	13.0	13.318377	0.3183771288871765	0.7784069	0.5167522706985473
1	15	False	True	True	True	True	35	wide	14.0	14.001649	0.0016490795135498	0.8745001	0.5741774394035339
1	15	False	True	True	True	True	36	wide	15.0	15.058574	0.0585726704120636	1.3548647	0.7419708843708038
1	15	False	True	True	True	True	37	wide	16.0	16.36503	0.3650290689945221	1.8734665	0.9289973540782928
1	15	False	True	True	True	True	38	wide	17.0	17.585377	0.585376023054123	2.2019029	1.0976094343662262
1	15	False	True	True	True	True	39	wide	18.0	18.574436	0.574435164642334	2.2755096	1.146848176765442
1	15	False	True	True	True	True	40	wide	19.0	19.459354	0.4593543012619018	2.6153939	1.2041715404510498
1	15	False	True	True	True	True	41	wide	20.0	20.320375	0.3203756724834442	2.8754213	1.2530780806064603
1	15	False	True	True	True	True	42	wide	21.0	21.160843	0.1608434480190277	2.9889505	1.2844524517536164
1	15	False	True	True	True	True	43	wide	22.0	22.067507	0.0675055691719055	3.3341656	1.3542670889854431
1	15	False	True	True	True	True	44	wide	23.0	22.982435	-0.0175643290996551	3.5623665	1.4019233253002166
1	15	False	True	True	True	True	45	wide	24.0	23.957047	-0.042953081035614	3.573086	1.401139543247223
1	15	False	True	True	True	True	46	wide	25.0	24.966951	-0.0330480924129486	3.625936	1.4132455562114716
1	15	False	True	True	True	True	47	wide	26.0	25.951008	-0.0489915347099304	3.7609684	1.4347617642402648
1	15	False	True	True	True	True	48	wide	27.0	26.970716	-0.0292854837417602	3.8583653	1.4461391035079956
1	15	False	True	True	True	True	49	wide	28.0	27.972538	-0.027462940788269	3.7031946	1.4267099542617798
1	15	False	True	True	True	True	50	wide	29.0	28.981153	-0.0188481076240539	3.7250395	1.4269918900489806
1	15	False	True	True	True	True	51	wide	30.0	30.010633	0.0106355565547943	3.7552984	1.4352319002628326
1	15	False	True	True	True	True	52	wide	31.0	30.999926	-7.344279289245606e-05	3.6842365	1.4371762303829194
1	15	False	True	True	True	True	53	wide	32.0	31.9884	-0.0115992039203643	3.5958142	1.415771091890335
1	15	False	True	True	True	True	54	wide	33.0	32.979977	-0.0200212013244628	3.4289773	1.4017141036987304
1	15	False	True	True	True	True	55	wide	34.0	33.932594	-0.0674076817035675	3.3021789	1.3665101910114288
1	15	False	True	True	True	True	56	wide	35.0	34.860718	-0.1392820165634155	3.0574663	1.337150221824646
1	15	False	True	True	True	True	57	wide	36.0	35.730045	-0.2699527179718017	2.8127627	1.269035972595215
1	15	False	True	True	True	True	58	wide	37.0	36.511017	-0.4889805768013	2.4545844	1.183837235736847
1	15	False	True	True	True	True	59	wide	38.0	37.20636	-0.7936420145988464	2.141598	1.1403277110099792
1	15	False	True	True	True	True	60	wide	39.0	37.804893	-1.1951047351837158	1.7499948	1.2506372707366944
1	15	False	True	True	True	True	61	wide	40.0	38.25314	-1.746859983921051	1.4577464	1.746859983921051
1	18	False	True	True	False	False	0	narrow	10.0	10.698216	0.6982170372009278	0.9538799	0.6982170372009278
1	18	False	True	True	False	False	1	narrow	11.0	11.069636	0.0696367540359497	0.24993052	0.2253583269119262
1	18	False	True	True	False	False	2	narrow	12.0	12.212526	0.2125260944366455	0.54506755	0.401605806350708
1	18	False	True	True	False	False	3	narrow	13.0	13.181585	0.1815848226547241	0.80447966	0.5992492418289185
1	18	False	True	True	False	False	4	narrow	14.0	14.24754	0.2475398302078247	0.87517536	0.6955160188674927
1	18	False	True	True	False	False	5	narrow	15.0	15.267274	0.2672735872268676	0.9772518	0.7381038999557495
1	18	False	True	True	False	False	6	narrow	16.0	16.05859	0.0585898628234863	1.119404	0.794210678100586
1	18	False	True	True	False	False	7	narrow	17.0	16.992172	-0.0078288192749023	1.1667495	0.8198775596618653
1	18	False	True	True	False	False	8	narrow	18.0	18.080217	0.0802173480987548	1.1185765	0.7976444263458252
1	18	False	True	True	False	False	9	narrow	19.0	18.968918	-0.0310821866989135	1.2008842	0.8369274473190308
1	18	False	True	True	False	False	10	narrow	20.0	19.973652	-0.0263481254577636	1.2609649	0.8468352699279785
1	18	False	True	True	False	False	11	narrow	21.0	20.907892	-0.0921077003479003	1.2168926	0.8383772239685059
1	18	False	True	True	False	False	12	narrow	22.0	21.860569	-0.1394316473007202	1.1175992	0.7919989614486694
1	18	False	True	True	False	False	13	narrow	23.0	22.819107	-0.1808926277160644	0.80730253	0.6984672927856446
1	18	False	True	True	False	False	14	narrow	24.0	23.475878	-0.5241239318847656	0.753241	0.6952539596557618
1	18	False	True	True	False	False	15	narrow	25.0	23.99724	-1.00276060295105	0.6772461	1.00276060295105
1	18	False	True	True	False	False	16	wide	10.0	10.5582285	0.5582283687591553	1.9394357	0.5582283782958984
1	18	False	True	True	False	False	17	wide	11.0	11.2491045	0.2491049337387084	0.65544116	0.2687273550033569
1	18	False	True	True	False	False	18	wide	12.0	12.238737	0.2387375135421753	0.6402727	0.3829617300033569
1	18	False	True	True	False	False	19	wide	13.0	13.47525	0.4752499504089355	0.7060552	0.6318378582000732
1	18	False	True	True	False	False	20	wide	14.0	14.130255	0.1302552776336669	0.79846036	0.5769627094268799
1	18	False	True	True	False	False	21	wide	15.0	15.032186	0.0321859827041626	1.08135	0.7531873636245727
1	18	False	True	True	False	False	22	wide	16.0	16.26139	0.2613912363052368	1.5660832	0.919128405570984
1	18	False	True	True	False	False	23	wide	17.0	17.43011	0.4301113586425781	1.7249125	1.0131170463562011
1	18	False	True	True	False	False	24	wide	18.0	18.455336	0.4553362522125244	1.9582397	1.092459321975708
1	18	False	True	True	False	False	25	wide	19.0	19.35057	0.3505706233978271	1.8896142	1.089009759902954
1	18	False	True	True	False	False	26	wide	20.0	20.180483	0.1804818725585937	1.9252237	1.104647129058838
1	18	False	True	True	False	False	27	wide	21.0	20.981892	-0.0181077766418457	1.9241488	1.0752264289855955
1	18	False	True	True	False	False	28	wide	22.0	21.649921	-0.3500774450302124	1.855027	1.0527271375656129
1	18	False	True	True	False	False	29	wide	23.0	22.384739	-0.6152624320983887	1.599791	0.9952424125671386
1	18	False	True	True	False	False	30	wide	24.0	22.916933	-1.0830658731460572	1.5967925	1.1653203821182252
1	18	False	True	True	False	False	31	wide	25.0	23.416649	-1.5833516054153445	1.2445084	1.5833516054153445
1	18	False	True	True	True	False	0	narrow	10.0	10.676313	0.6763132256507873	0.8286223	0.6763132257461548
1	18	False	True	True	True	False	1	narrow	11.0	11.07118	0.0711803984165191	0.25304437	0.225825206041336
1	18	False	True	True	True	False	2	narrow	12.0	12.174159	0.1741595868110656	0.41757685	0.3810920720100403
1	18	False	True	True	True	False	3	narrow	13.0	13.167239	0.1672394989013672	0.75600547	0.5979888058662415
1	18	False	True	True	True	False	4	narrow	14.0	14.268782	0.2687815184593201	0.8824075	0.6920260841369629
1	18	False	True	True	True	False	5	narrow	15.0	15.199064	0.1990634817123413	0.9622621	0.7283601626396179
1	18	False	True	True	True	False	6	narrow	16.0	16.109982	0.1099818093299865	1.0796776	0.7801579695701599
1	18	False	True	True	True	False	7	narrow	17.0	17.043896	0.0438954357624053	1.1803522	0.8161900475978852
1	18	False	True	True	True	False	8	narrow	18.0	18.002392	0.0023928719043731	1.2651283	0.8446886699199676
1	18	False	True	True	True	False	9	narrow	19.0	18.997486	-0.0025135945320129	1.3074697	0.862091541004181
1	18	False	True	True	True	False	10	narrow	20.0	19.983126	-0.0168731945037841	1.29683	0.85846592502594
1	18	False	True	True	True	False	11	narrow	21.0	20.954498	-0.0455010037899017	1.2381779	0.8418057441234589
1	18	False	True	True	True	False	12	narrow	22.0	21.901743	-0.0982585339069366	1.1038271	0.7951081644535065
1	18	False	True	True	True	False	13	narrow	23.0	22.768118	-0.2318827274322509	0.8711984	0.7070642419815063
1	18	False	True	True	True	False	14	narrow	24.0	23.49207	-0.5079315446376801	0.7001225	0.6769109443187714
1	18	False	True	True	True	False	15	narrow	25.0	24.031693	-0.9683081935405732	0.5537755	0.9683081935405732
1	18	False	True	True	True	False	16	wide	10.0	10.516633	0.5166324911594391	1.9069922	0.5166324963092804
1	18	False	True	True	True	False	17	wide	11.0	11.239331	0.2393308854103088	0.6258652	0.2600928004264831
1	18	False	True	True	True	False	18	wide	12.0	12.244238	0.2442377562046051	0.65843666	0.4004247588634491
1	18	False	True	True	True	False	19	wide	13.0	13.44045	0.4404498337745666	0.6311943	0.5975217329978942
1	18	False	True	True	True	False	20	wide	14.0	14.146144	0.1461439746379852	0.7491284	0.5750517790317535
1	18	False	True	True	True	False	21	wide	15.0	15.051608	0.0516082135677337	1.1678499	0.7559484857082367
1	18	False	True	True	True	False	22	wide	16.0	16.254877	0.2548770183563232	1.5936873	0.9216682806015014
1	18	False	True	True	True	False	23	wide	17.0	17.43647	0.4364696727275848	1.789662	1.0299813528537751
1	18	False	True	True	True	False	24	wide	18.0	18.404465	0.4044655712127685	1.8933051	1.07727640209198
1	18	False	True	True	True	False	25	wide	19.0	19.29856	0.2985601450443267	1.9672575	1.0920329181194306
1	18	False	True	True	True	False	26	wide	20.0	20.140581	0.1405805562496185	1.9185644	1.083709076166153
1	18	False	True	True	True	False	27	wide	21.0	20.92858	-0.0714199815750122	1.9235836	1.073061155319214
1	18	False	True	True	True	False	28	wide	22.0	21.67033	-0.3296703588962555	1.8536304	1.0470432116031647
1	18	False	True	True	True	False	29	wide	23.0	22.354681	-0.6453186470985413	1.6255459	1.0135303099632262
1	18	False	True	True	True	False	30	wide	24.0	22.916779	-1.083221836423874	1.4304729	1.1514923045635224
1	18	False	True	True	True	False	31	wide	25.0	23.385883	-1.6141169679164886	1.2237425	1.6141169679164886
1	18	False	True	True	True	True	0	narrow	10.0	10.668599	0.6685988730907441	0.83422786	0.6685988731861114
1	18	False	True	True	True	True	1	narrow	11.0	11.0917	0.0916999307155609	0.3597263	0.2409083929538726
1	18	False	True	True	True	True	2	narrow	12.0	12.183528	0.1835278292655945	0.4832981	0.3880676527976989
1	18	False	True	True	True	True	3	narrow	13.0	13.149962	0.1499632255554199	0.805202	0.5931355891227722
1	18	False	True	True	True	True	4	narrow	14.0	14.26071	0.2607097699642181	0.8882026	0.6898893846035004
1	18	False	True	True	True	True	5	narrow	15.0	15.210572	0.2105723764896392	1.000119	0.726820689535141
1	18	False	True	True	True	True	6	narrow	16.0	16.136656	0.1366559351444244	1.158862	0.7898308835506439
1	18	False	True	True	True	True	7	narrow	17.0	17.052193	0.0521916983604431	1.2566118	0.8268621062278747
1	18	False	True	True	True	True	8	narrow	18.0	18.019423	0.01942341132164	1.352624	0.8575819561481476
1	18	False	True	True	True	True	9	narrow	19.0	19.010725	0.0107254431724548	1.406234	0.872159692287445
1	18	False	True	True	True	True	10	narrow	20.0	20.015327	0.0153258692741394	1.480733	0.8839475554466247
1	18	False	True	True	True	True	11	narrow	21.0	21.015053	0.0150538558483123	1.4631486	0.8871963448047638
1	18	False	True	True	True	True	12	narrow	22.0	22.047495	0.0474959354400634	1.5379434	0.9048448020935058
1	18	False	True	True	True	True	13	narrow	23.0	23.068073	0.0680734243869781	1.6093904	0.923609382390976
1	18	False	True	True	True	True	14	narrow	24.0	24.072615	0.0726137288093567	1.6930413	0.942644012928009
1	18	False	True	True	True	True	15	narrow	25.0	25.085821	0.0858208342552185	1.7275286	0.9617524090766908
1	18	False	True	True	True	True	16	narrow	26.0	26.093388	0.09338746509552	1.8160232	0.9892918224334716
1	18	False	True	True	True	True	17	narrow	27.0	27.117235	0.1172349508285522	1.9195828	1.0166697410583496
1	18	False	True	True	True	True	18	narrow	28.0	28.121668	0.1216686248779296	2.0824819	1.0627158878326417
1	18	False	True	True	True	True	19	narrow	29.0	29.112904	0.112904258441925	2.1930885	1.0935701685905457
1	18	False	True	True	True	True	20	narrow	30.0	30.154734	0.1547329938888549	2.2547085	1.1218911247253418
1	18	False	True	True	True	True	21	narrow	31.0	31.13249	0.1324907361030578	2.3391118	1.1510207995414734
1	18	False	True	True	True	True	22	narrow	32.0	32.1429	0.1429010727882385	2.40024	1.1846271891593934
1	18	False	True	True	True	True	23	narrow	33.0	33.120983	0.1209806726455688	2.4263895	1.1923810991287231
1	18	False	True	True	True	True	24	narrow	34.0	34.07046	0.0704595956802368	2.4625258	1.2106327798843384
1	18	False	True	True	True	True	25	narrow	35.0	35.034393	0.0343922017097473	2.3199878	1.1846385531425476
1	18	False	True	True	True	True	26	narrow	36.0	35.89971	-0.1002871008872985	2.1761549	1.1414538760185242
1	18	False	True	True	True	True	27	narrow	37.0	36.690777	-0.3092206622600555	1.956934	1.0578705981731416
