subject	model_label	fit_response	smoothed		Unnamed: 0	n	fisher_information	condition	log(fisher_information)
2	31	False	True	16	16	26.0	0.18222533	narrow	-1.7025112807674965
2	31	False	True	17	17	27.0	0.17266944	narrow	-1.7563762637436908
2	31	False	True	18	18	28.0	0.16249964	narrow	-1.8170794925994143
2	31	False	True	19	19	29.0	0.15205532	narrow	-1.8835108769802182
2	31	False	True	20	20	30.0	0.14159991	narrow	-1.95474973331594
2	31	False	True	21	21	31.0	0.13133325	narrow	-2.0300172928702804
2	31	False	True	22	22	32.0	0.12140308	narrow	-2.108639030003116
2	31	False	True	23	23	33.0	0.11191425	narrow	-2.190022325927547
2	31	False	True	24	24	34.0	0.102937035	narrow	-2.2736377883586707
2	31	False	True	25	25	35.0	0.09451382	narrow	-2.359009211788718
2	31	False	True	26	26	36.0	0.08666495	narrow	-2.4457057445232016
2	31	False	True	27	27	37.0	0.07939356	narrow	-2.5333380223308466
2	31	False	True	28	28	38.0	0.07268953	narrow	-2.621557921320226
2	31	False	True	29	29	39.0	0.066533074	narrow	-2.710056101576071
2	31	False	True	30	30	40.0	0.060897514	narrow	-2.7985629261175484
2	31	False	True	31	31	10.0	0.36405057	wide	-1.010462492423648
2	31	False	True	32	32	11.0	0.2873835	wide	-1.246937718258789
2	31	False	True	33	33	12.0	0.16127641	wide	-1.8246355537714811
2	31	False	True	34	34	13.0	0.083108746	wide	-2.487605335968045
2	31	False	True	35	35	14.0	0.09304898	wide	-2.3746292578024275
2	31	False	True	36	36	15.0	0.06976149	wide	-2.6626731406645576
2	31	False	True	37	37	16.0	0.039771188	wide	-3.224612548446055
2	31	False	True	38	38	17.0	0.029435422	wide	-3.525556499930654
2	31	False	True	39	39	18.0	0.030014835	wide	-3.506063519544815
2	31	False	True	40	40	19.0	0.03396258	wide	-3.3824959486932475
2	31	False	True	41	41	20.0	0.038780663	wide	-3.249833532872309
2	31	False	True	42	42	21.0	0.04362287	wide	-3.132173724866435
2	31	False	True	43	43	22.0	0.048088692	wide	-3.034708223064337
2	31	False	True	44	44	23.0	0.051968917	wide	-2.957109489124466
2	31	False	True	45	45	24.0	0.05516963	wide	-2.897342658263698
